,Equity,DrawdownPct,DrawdownDuration
2023-12-27 20:15:00+00:00,1000000000.0,0.0,
2023-12-27 20:30:00+00:00,1000000000.0,0.0,
2023-12-27 20:45:00+00:00,1000000000.0,0.0,
2023-12-28 14:30:00+00:00,1000000000.0,0.0,
2023-12-28 14:45:00+00:00,1000000000.0,0.0,
2023-12-28 15:00:00+00:00,1000000000.0,0.0,
2023-12-28 15:15:00+00:00,1000000000.0,0.0,
2023-12-28 15:30:00+00:00,1000000000.0,0.0,
2023-12-28 15:45:00+00:00,1000000000.0,0.0,
2023-12-28 16:00:00+00:00,1000000000.0,0.0,
2023-12-28 16:15:00+00:00,1000000000.0,0.0,
2023-12-28 16:30:00+00:00,1000000000.0,0.0,
2023-12-28 16:45:00+00:00,1000000000.0,0.0,
2023-12-28 17:00:00+00:00,1000000000.0,0.0,
2023-12-28 17:15:00+00:00,1000000000.0,0.0,
2023-12-28 17:30:00+00:00,1000000000.0,0.0,
2023-12-28 17:45:00+00:00,1000000000.0,0.0,
2023-12-28 18:00:00+00:00,1000000000.0,0.0,
2023-12-28 18:15:00+00:00,1000000000.0,0.0,
2023-12-28 18:30:00+00:00,1000000000.0,0.0,
2023-12-28 18:45:00+00:00,1000000000.0,0.0,
2023-12-28 19:00:00+00:00,1000000000.0,0.0,
2023-12-28 19:15:00+00:00,1000000000.0,0.0,
2023-12-28 19:30:00+00:00,1000000000.0,0.0,
2023-12-28 19:45:00+00:00,1000000000.0,0.0,
2023-12-28 20:00:00+00:00,1000000000.0,0.0,
2023-12-28 20:15:00+00:00,999996711.0029297,3.2889970703608995e-06,
2023-12-28 20:30:00+00:00,999995451.2592752,4.54874072475242e-06,
2023-12-28 20:45:00+00:00,999995451.2592752,4.54874072475242e-06,
2023-12-29 14:30:00+00:00,999991649.8163065,8.350183693495161e-06,
2023-12-29 14:45:00+00:00,999992091.1249002,7.908875099826851e-06,
2023-12-29 15:00:00+00:00,999992999.8163065,7.000183693484097e-06,
2023-12-29 15:15:00+00:00,999993166.808494,6.8331915060726445e-06,
2023-12-29 15:30:00+00:00,999998111.339744,1.888660256077479e-06,
2023-12-29 15:45:00+00:00,1000000063.683494,0.0,0 days 19:45:00
2023-12-29 16:00:00+00:00,1000003679.6014627,0.0,
2023-12-29 16:15:00+00:00,1000006687.2186502,0.0,
2023-12-29 16:30:00+00:00,1000005891.6131815,7.956001484288322e-07,
2023-12-29 16:45:00+00:00,1000003734.4842752,2.952714629578246e-06,
2023-12-29 17:00:00+00:00,1000005469.2499002,1.2179606052598047e-06,
2023-12-29 17:15:00+00:00,1000006277.4530252,4.0976288484539936e-07,
2023-12-29 17:30:00+00:00,1000004465.4413065,2.2217624863207774e-06,
2023-12-29 17:45:00+00:00,1000002783.7030252,3.903489521506209e-06,
2023-12-29 18:00:00+00:00,1000000691.9061502,5.995272408299002e-06,
2023-12-29 18:15:00+00:00,1000001898.839744,4.788346885553629e-06,
2023-12-29 18:30:00+00:00,999999934.8749002,6.752298595924522e-06,
2023-12-29 18:45:00+00:00,999999573.839744,7.1133313378490826e-06,
2023-12-29 19:00:00+00:00,999999844.4452127,6.842727678701976e-06,
2023-12-29 19:15:00+00:00,1000000074.1327127,6.613041714675916e-06,
2023-12-29 19:30:00+00:00,999999311.9256815,7.375243648910512e-06,
2023-12-29 19:45:00+00:00,999998008.214744,8.678945868201282e-06,
2023-12-29 20:00:00+00:00,999998341.5155252,8.34564731577725e-06,
2023-12-29 20:15:00+00:00,999998537.6092752,8.149554877157072e-06,
2023-12-29 20:30:00+00:00,999999780.089744,6.907082717111379e-06,
