Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA_50,Sentiment,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Signal,ATR
2023-12-27 20:15:00+00:00,439.8699951171875,440.0899963378906,439.5199890136719,439.80999755859375,27712,0.0,0.0,437.33215393066405,B,0.7454819032093383,-0.019158917680854426,0.7646408208901927,S,0.6484252715972874
2023-12-27 20:30:00+00:00,439.7099914550781,440.0299987792969,439.2900085449219,439.4299926757813,41907,0.0,0.0,437.4144221167471,B,0.6935492810472397,-0.05687323187436244,0.7504225129216021,S,0.6551305106830512
2023-12-27 20:45:00+00:00,439.4299926757813,440.2900085449219,439.21099853515625,440.0,111968,0.0,0.0,437.5158173278551,B,0.6904283034385799,-0.04799536758641787,0.7384236710249977,S,0.6861151189223769
2023-12-28 14:30:00+00:00,439.6600036621094,443.4700012207031,439.0199890136719,440.9100036621094,49931,0.0,0.0,437.64892267429644,B,0.752707848974012,0.01142734235921139,0.7412805066148006,B,0.9607888057310039
2023-12-28 14:45:00+00:00,440.875,442.2900085449219,440.875,441.93499755859375,14085,0.0,0.0,437.8170040423081,B,0.8746903923583318,0.10672790859482495,0.7679624837635068,B,0.993884679656535
2023-12-28 15:00:00+00:00,442.0050048828125,442.0499877929687,441.4200134277344,441.6199951171875,14015,0.0,0.0,437.96614094720536,B,0.9351643795432096,0.13376151662376223,0.8014028629194474,B,0.9674070173649905
2023-12-28 15:15:00+00:00,441.5750122070313,441.8800048828125,441.2900085449219,441.760009765625,17092,0.0,0.0,438.11492011655514,B,0.9830563998107777,0.1453228295130642,0.8377335702977136,B,0.9399835635816657
2023-12-28 15:30:00+00:00,441.6174926757813,442.1000061035156,441.5899963378906,441.5899963378906,19996,0.0,0.0,438.25119761543107,B,0.9958133912574567,0.12646385676779448,0.8693495344896622,B,0.9087792545628369
2023-12-28 15:45:00+00:00,441.4200134277344,441.69000244140625,440.5700073242187,440.8800048828125,21180,0.0,0.0,438.3542880965049,B,0.9378223893788231,0.05477828391132866,0.8830441054674945,B,0.9240902193080236
2023-12-28 16:00:00+00:00,440.7699890136719,441.364990234375,440.6000061035156,440.69000244140625,21191,0.0,0.0,438.44588473748144,B,0.8665435191978759,-0.013200469015694938,0.8797439882135708,S,0.9125688991181242
