Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-04-24 09:00:00+02:00,15852.26953125,15879.23046875,15831.099609375,15874.080078125,0,0.0,0.0
2023-04-24 10:00:00+02:00,15874.080078125,15879.66015625,15845.259765625,15851.150390625,0,0.0,0.0
2023-04-24 11:00:00+02:00,15851.150390625,15883.5302734375,15851.150390625,15869.0703125,0,0.0,0.0
2023-04-24 12:00:00+02:00,15869.0498046875,15887.2099609375,15864.58984375,15885.2998046875,0,0.0,0.0
2023-04-24 13:00:00+02:00,15885.5595703125,15900.400390625,15884.080078125,15898.6103515625,0,0.0,0.0
2023-04-24 14:00:00+02:00,15898.6103515625,15902.23046875,15884.4599609375,15892.509765625,0,0.0,0.0
2023-04-24 15:00:00+02:00,15893.3798828125,15919.1103515625,15889.5595703125,15907.6201171875,0,0.0,0.0
2023-04-24 16:00:00+02:00,15907.830078125,15910.5,15864.0703125,15867.73046875,0,0.0,0.0
2023-04-24 17:00:00+02:00,15867.41015625,15872.8603515625,15859.48046875,15861.91015625,0,0.0,0.0
2023-04-25 09:00:00+02:00,15836.7900390625,15862.650390625,15803.41015625,15825.8203125,0,0.0,0.0
2023-04-25 10:00:00+02:00,15825.4697265625,15857.240234375,15794.8095703125,15841.0498046875,0,0.0,0.0
2023-04-25 11:00:00+02:00,15840.98046875,15854.580078125,15827.400390625,15840.5595703125,0,0.0,0.0
2023-04-25 12:00:00+02:00,15843.400390625,15853.0,15832.23046875,15838.8896484375,0,0.0,0.0
2023-04-25 13:00:00+02:00,15838.8798828125,15867.5595703125,15838.400390625,15857.9296875,0,0.0,0.0
2023-04-25 14:00:00+02:00,15857.9296875,15872.240234375,15845.900390625,15849.5703125,0,0.0,0.0
2023-04-25 15:00:00+02:00,15849.5703125,15876.6796875,15839.9501953125,15852.3603515625,0,0.0,0.0
2023-04-25 16:00:00+02:00,15852.9404296875,15865.6796875,15829.0595703125,15855.7197265625,0,0.0,0.0
2023-04-25 17:00:00+02:00,15860.8603515625,15891.73046875,15858.5703125,15877.76953125,0,0.0,0.0
2023-04-26 09:00:00+02:00,15804.5,15826.01953125,15702.2001953125,15729.740234375,0,0.0,0.0
2023-04-26 10:00:00+02:00,15730.009765625,15799.8603515625,15694.3603515625,15793.76953125,0,0.0,0.0
2023-04-26 11:00:00+02:00,15793.8798828125,15807.6904296875,15758.509765625,15769.080078125,0,0.0,0.0
2023-04-26 12:00:00+02:00,15768.8095703125,15796.41015625,15763.830078125,15765.3701171875,0,0.0,0.0
2023-04-26 13:00:00+02:00,15765.2900390625,15793.9697265625,15732.4697265625,15764.48046875,0,0.0,0.0
2023-04-26 14:00:00+02:00,15764.580078125,15790.6904296875,15760.1201171875,15778.75,0,0.0,0.0
2023-04-26 15:00:00+02:00,15778.5595703125,15792.8603515625,15770.330078125,15777.3896484375,0,0.0,0.0
2023-04-26 16:00:00+02:00,15777.0400390625,15777.990234375,15734.5595703125,15772.9296875,0,0.0,0.0
2023-04-26 17:00:00+02:00,15772.9296875,15806.0595703125,15772.6298828125,15789.349609375,0,0.0,0.0
2023-04-27 09:00:00+02:00,15739.349609375,15820.26953125,15706.6904296875,15813.7998046875,0,0.0,0.0
2023-04-27 10:00:00+02:00,15814.0703125,15822.98046875,15773.740234375,15820.3798828125,0,0.0,0.0
2023-04-27 11:00:00+02:00,15820.41015625,15835.2001953125,15812.330078125,15815.6201171875,0,0.0,0.0
2023-04-27 12:00:00+02:00,15815.6201171875,15823.740234375,15791.8095703125,15812.740234375,0,0.0,0.0
2023-04-27 13:00:00+02:00,15812.9404296875,15819.0302734375,15800.099609375,15817.849609375,0,0.0,0.0
2023-04-27 14:00:00+02:00,15817.759765625,15851.0703125,15816.75,15848.8203125,0,0.0,0.0
2023-04-27 15:00:00+02:00,15848.8203125,15859.25,15800.1904296875,15804.3896484375,0,0.0,0.0
2023-04-27 16:00:00+02:00,15804.4599609375,15806.2802734375,15773.7099609375,15774.1103515625,0,0.0,0.0
2023-04-27 17:00:00+02:00,15774.169921875,15796.23046875,15764.4404296875,15794.849609375,0,0.0,0.0
2023-04-28 09:00:00+02:00,15884.7900390625,15919.4697265625,15824.5302734375,15832.0703125,0,0.0,0.0
2023-04-28 10:00:00+02:00,15831.3095703125,15834.8701171875,15692.08984375,15711.9697265625,0,0.0,0.0
2023-04-28 11:00:00+02:00,15711.8896484375,15764.51953125,15688.169921875,15757.169921875,0,0.0,0.0
2023-04-28 12:00:00+02:00,15756.2197265625,15777.7998046875,15729.240234375,15729.2900390625,0,0.0,0.0
2023-04-28 13:00:00+02:00,15729.650390625,15788.83984375,15721.0302734375,15772.1298828125,0,0.0,0.0
2023-04-28 14:00:00+02:00,15771.990234375,15831.0,15765.5302734375,15822.01953125,0,0.0,0.0
2023-04-28 15:00:00+02:00,15821.2900390625,15868.849609375,15821.2900390625,15858.5400390625,0,0.0,0.0
2023-04-28 16:00:00+02:00,15858.650390625,15908.5703125,15858.650390625,15872.6396484375,0,0.0,0.0
2023-04-28 17:00:00+02:00,15873.25,15907.33984375,15854.740234375,15906.0498046875,0,0.0,0.0
2023-05-02 09:00:00+02:00,15950.3603515625,16011.5595703125,15873.1103515625,15873.6904296875,0,0.0,0.0
2023-05-02 10:00:00+02:00,15873.5400390625,15890.58984375,15842.7900390625,15865.41015625,0,0.0,0.0
2023-05-02 11:00:00+02:00,15865.41015625,15900.830078125,15852.5703125,15880.6201171875,0,0.0,0.0
2023-05-02 12:00:00+02:00,15880.6201171875,15896.8095703125,15861.7998046875,15887.599609375,0,0.0,0.0
2023-05-02 13:00:00+02:00,15887.7099609375,15896.3095703125,15871.0595703125,15880.2998046875,0,0.0,0.0
2023-05-02 14:00:00+02:00,15880.2998046875,15880.2998046875,15847.5498046875,15849.3603515625,0,0.0,0.0
2023-05-02 15:00:00+02:00,15849.3603515625,15867.240234375,15835.509765625,15845.330078125,0,0.0,0.0
