,Equity,DrawdownPct,DrawdownDuration
2023-12-29 19:30:00+00:00,999999479.1408132,6.14925183883841e-07,
2023-12-29 19:45:00+00:00,999999487.6430105,6.064229873814497e-07,
2023-12-29 20:00:00+00:00,999999518.5802342,5.754857665962732e-07,
2023-12-29 20:15:00+00:00,999999439.2498692,6.548161241015649e-07,
2023-12-29 20:30:00+00:00,999999381.35192,7.127140678742094e-07,
2023-12-29 20:45:00+00:00,999999350.5317183,7.435342667116984e-07,
2024-01-02 14:30:00+00:00,999999262.6777204,8.313882563504293e-07,
2024-01-02 14:45:00+00:00,999999078.6600934,1.0154058659450627e-06,
2024-01-02 15:00:00+00:00,999998872.4934169,1.2215725231357055e-06,
2024-01-02 15:15:00+00:00,999998816.437173,1.2776287617866089e-06,
2024-01-02 15:30:00+00:00,999998811.1881496,1.2828777846696227e-06,
2024-01-02 15:45:00+00:00,999998641.9550006,1.452110917732341e-06,
2024-01-02 16:00:00+00:00,999998742.0038056,1.3520621221507767e-06,
2024-01-02 16:15:00+00:00,999998710.8845613,1.3831813635567514e-06,
2024-01-02 16:30:00+00:00,999998744.3837068,1.349682221207793e-06,
2024-01-02 16:45:00+00:00,999998833.7479948,1.2603179415648924e-06,
2024-01-02 17:00:00+00:00,999998742.2691374,1.3517967903942107e-06,
2024-01-02 17:15:00+00:00,999998664.2692595,1.4297966609566615e-06,
2024-01-02 17:30:00+00:00,999998687.2673063,1.406798616265803e-06,
2024-01-02 17:45:00+00:00,999998604.6981642,1.4893677505734004e-06,
2024-01-02 18:00:00+00:00,999998473.4839187,1.6205819838299718e-06,
2024-01-02 18:15:00+00:00,999998517.4841628,1.5765817438229135e-06,
2024-01-02 18:30:00+00:00,999998495.4840407,1.5985818638819538e-06,
2024-01-02 18:45:00+00:00,999998427.4847732,1.6665811249927387e-06,
2024-01-02 19:00:00+00:00,999998391.0789926,1.702986902163417e-06,
2024-01-02 19:15:00+00:00,999998334.027772,1.7600381174709412e-06,
2024-01-02 19:30:00+00:00,999998254.0289927,1.8400368891891006e-06,
2024-01-02 19:45:00+00:00,999998235.0287485,1.8590371315685417e-06,
2024-01-02 20:00:00+00:00,999998281.027894,1.8130379904057747e-06,
2024-01-02 20:15:00+00:00,999998308.0298471,1.7860360398413988e-06,
2024-01-02 20:30:00+00:00,999998277.0300913,1.817035792717192e-06,
2024-01-02 20:45:00+00:00,999998441.0285044,1.6530373950773836e-06,
2024-01-03 14:30:00+00:00,999998120.0293589,1.974036510365984e-06,
2024-01-03 14:45:00+00:00,999997916.2690684,2.1777967816882793e-06,
2024-01-03 15:00:00+00:00,999997877.4523804,2.2166134659995507e-06,
2024-01-03 15:15:00+00:00,999997869.2442566,2.22482158906967e-06,
2024-01-03 15:30:00+00:00,999997754.7423035,2.3393235314417282e-06,
2024-01-03 15:45:00+00:00,999997655.3095907,2.438756234846018e-06,
2024-01-03 16:00:00+00:00,999997647.6169577,2.446448867154949e-06,
2024-01-03 16:15:00+00:00,999997666.6172018,2.427448624775508e-06,
2024-01-03 16:30:00+00:00,999997710.1169577,2.3839488729748837e-06,
2024-01-03 16:45:00+00:00,999997699.615859,2.3944499706329836e-06,
2024-01-03 17:00:00+00:00,999997687.6163473,2.406449481240358e-06,
2024-01-03 17:15:00+00:00,999997640.115737,2.4539500871334496e-06,
2024-01-03 17:30:00+00:00,999997706.6165915,2.387449238860917e-06,
2024-01-03 17:45:00+00:00,999997714.1178122,2.3799480188824162e-06,
2024-01-03 18:00:00+00:00,999997662.6163473,2.4314494788679752e-06,
2024-01-03 18:15:00+00:00,999997640.6162252,2.4534495989270155e-06,
2024-01-03 18:30:00+00:00,999997657.617568,2.436448257703283e-06,
2024-01-03 18:45:00+00:00,999997662.6163473,2.4314494788679752e-06,
2024-01-03 19:00:00+00:00,999997580.6156149,2.5134502036339157e-06,
2024-01-03 19:15:00+00:00,999997725.0156393,2.369050192796429e-06,
2024-01-03 19:30:00+00:00,999997738.6173239,2.355448509461233e-06,
2024-01-03 19:45:00+00:00,999997653.6167135,2.440449111906773e-06,
2024-01-03 20:00:00+00:00,999997591.1167135,2.5029491059758158e-06,
2024-01-03 20:15:00+00:00,999997579.6176901,2.514448128376756e-06,
2024-01-03 20:30:00+00:00,999997492.6181784,2.601447631866982e-06,
2024-01-03 20:45:00+00:00,999997405.832307,2.6882334951405795e-06,
2024-01-04 14:30:00+00:00,999997425.6594038,2.6684064001747387e-06,
2024-01-04 14:45:00+00:00,999997367.786772,2.726279026532552e-06,
2024-01-04 15:00:00+00:00,999997480.7872603,2.613278548779796e-06,
2024-01-04 15:15:00+00:00,999997434.7881148,2.6592776900535853e-06,
2024-01-04 15:30:00+00:00,999997494.2882369,2.5997775735531192e-06,
2024-01-04 15:45:00+00:00,999997359.7881148,2.734277682936437e-06,
2024-01-04 16:00:00+00:00,999997434.2876265,2.6597781782600194e-06,
2024-01-04 16:15:00+00:00,999997383.7871382,2.710278661721688e-06,
2024-01-04 16:30:00+00:00,999997379.7862837,2.7142795159251776e-06,
2024-01-04 16:45:00+00:00,999997414.7868941,2.6792789088458946e-06,
2024-01-04 17:00:00+00:00,999997386.7870162,2.707278784153111e-06,
2024-01-04 17:15:00+00:00,999997341.8071578,2.7522586383277314e-06,
2024-01-04 17:30:00+00:00,999997288.7859175,2.805279873507871e-06,
2024-01-04 17:45:00+00:00,999997284.7881148,2.8092776759303106e-06,
2024-01-04 18:00:00+00:00,999997304.7862837,2.789279508808029e-06,
2024-01-04 18:15:00+00:00,999997325.788481,2.7682773134918293e-06,
2024-01-04 18:30:00+00:00,999997307.2887251,2.7867770676648362e-06,
2024-01-04 18:45:00+00:00,999997258.7871382,2.835278649970796e-06,
2024-01-04 19:00:00+00:00,999997295.78665,2.7982791417358044e-06,
